data

tradedate;tradetime;secid;pr_open;pr_high;pr_low;pr_close;pr_std;vol;val;trades;pr_vwap;pr_change;trades_b;trades_s;val_b;val_s;vol_b;vol_s;disb;pr_vwap_b;pr_vwap_s;SYSTIME
2024-05-17;20:30:00;SBER;322.44;322.45;322.36;322.4;0;1740;5609821;99;322.4;-0.0124;58;41;1676594;3933227;520;1220;-0.4;322.42;322.4;2024-05-17 20:30:10
2024-05-17;20:35:00;SBER;322.39;322.4;322.39;322.39;0;1125;3626973;94;322.4;0;68;26;2769416;857557;859;266;0.53;322.4;322.39;2024-05-17 20:35:10
2024-05-17;20:40:00;SBER;322.4;322.48;322.39;322.47;0;6059;19534680;131;322.41;0.0217;92;39;13370549;6164131;4147;1912;0.37;322.41;322.39;2024-05-17 20:40:11
2024-05-17;20:45:00;SBER;322.41;322.5;322.41;322.49;0;1957;6310852;92;322.48;0.0248;72;20;5736882;573969;1779;178;0.82;322.48;322.45;2024-05-17 20:45:10
2024-05-17;20:50:00;SBER;322.5;322.69;322.49;322.58;0.0001;2416;7794041;124;322.6;0.0248;79;45;3845769;3948272;1192;1224;-0.01;322.63;322.57;2024-05-17 20:50:10
2024-05-17;20:55:00;SBER;322.59;322.78;322.55;322.72;0;8984;28991029;184;322.7;0.0403;121;63;26105918;2885111;8090;894;0.8;322.69;322.72;2024-05-17 20:55:11
2024-05-17;21:00:00;SBER;322.72;322.72;322.7;322.71;0;1496;4827766;94;322.71;-0.0031;56;38;3920967;906799;1215;281;0.62;322.71;322.7;2024-05-17 21:00:11
2024-05-17;21:05:00;SBER;322.72;322.79;322.71;322.79;0;8289;26754025;135;322.77;0.0217;88;47;18655605;8098420;5780;2509;0.39;322.76;322.77;2024-05-17 21:05:10
2024-05-17;21:10:00;SBER;322.79;322.98;322.79;322.97;0;19624;63368310;195;322.91;0.0558;157;38;60384427;2983883;18700;924;0.91;322.91;322.93;2024-05-17 21:10:10
2024-05-17;21:15:00;SBER;322.97;322.99;322.92;322.97;0;2894;9346904;106;322.98;0;71;35;7851618;1495286;2431;463;0.68;322.98;322.96;2024-05-17 21:15:10
2024-05-17;21:20:00;SBER;322.95;322.96;322.86;322.92;0;2259;7294797;85;322.92;-0.0093;46;39;1178703;6116094;365;1894;-0.68;322.93;322.92;2024-05-17 21:20:10
2024-05-17;21:25:00;SBER;322.9;322.93;322.8;322.85;0.0001;2674;8633554;93;322.87;-0.0155;55;38;3548385;5085169;1099;1575;-0.18;322.87;322.87;2024-05-17 21:25:11
2024-05-17;21:30:00;SBER;322.86;322.88;322.75;322.79;0;5360;17302376;106;322.81;-0.0217;52;54;6272892;11029485;1943;3417;-0.28;322.85;322.78;2024-05-17 21:30:10
2024-05-17;21:35:00;SBER;322.76;322.78;322.55;322.57;0;8395;27088522;162;322.67;-0.0589;65;97;5034709;22053812;1560;6835;-0.63;322.74;322.66;2024-05-17 21:35:11


